Season,Episode,mean,std,var
5,9,0.023409877,0.351652655,0.12365959
5,10,0.135425714,0.37547225,0.14097941
5,11,0.059078834,0.342098023,0.117031057
5,12,0.17307094,0.335577962,0.112612569
5,13,0.113112955,0.38677465,0.14959463
5,14,0.102981754,0.38316303,0.146813907
6,1,0.089888483,0.355392877,0.126304097
6,2,0.185072664,0.359517422,0.129252777
6,3,0.083212275,0.384433327,0.147788983
6,4,0.030851309,0.34800462,0.121107215
6,5,0.052010098,0.288944114,0.083488701
6,6,0.136372685,0.417612586,0.174400272
6,7,0.051917931,0.367696479,0.135200701
6,8,0.081444715,0.361760122,0.130870386
6,9,0.127237209,0.397929712,0.158348056
6,10,0.102738378,0.379339901,0.143898761
6,11,0.052294191,0.364781222,0.13306534
6,12,0.06498315,0.400746649,0.160597877
6,13,0.071254252,0.368480018,0.135777524
6,14,0.082582686,0.372846822,0.139014753
6,15,0.09088,0.376456926,0.141719817
6,16,0.057376677,0.415151481,0.172350752
6,17,0.111748162,0.372143378,0.138490694
7,1,0.070864793,0.325101141,0.105690752
7,2,0.110197358,0.377902597,0.142810373
7,3,0.039592605,0.350961478,0.123173959
7,4,-0.019258203,0.393056442,0.154493366
7,5,0.085425556,0.362800177,0.131623968
7,6,0.048147826,0.344054662,0.118373611
7,7,0.16546092,0.349892201,0.122424552
7,8,0.131843544,0.345434806,0.119325205
7,9,0.171747431,0.409327759,0.167549214
7,10,0.021488015,0.334077993,0.111608106
7,11,0.165311741,0.381189885,0.145305729
7,12,0.101594753,0.39692565,0.157549971
7,13,0.026021888,0.414971209,0.172201104
7,14,0.155756357,0.378596491,0.143335303
7,15,0.088509333,0.35203963,0.123931901
8,1,-0.006401024,0.392020445,0.153680029
8,2,0.16653814,0.386415541,0.14931697
8,3,0.064392884,0.441472572,0.194898032
8,4,0.081927972,0.348995842,0.121798098
8,5,0.172983929,0.38843811,0.150884165
8,6,0.082674834,0.349629811,0.122241005
8,7,0.068870256,0.340910905,0.116220245
8,8,-0.017763019,0.418680728,0.175293552
8,9,0.076116393,0.365677709,0.133720187
8,10,0.036883986,0.363385979,0.13204937
8,11,0.126731646,0.363045676,0.131802163
8,12,0.064866421,0.405224232,0.164206679
8,13,0.000728631,0.388569613,0.150986344
8,14,0.064869072,0.390868626,0.152778283
9,1,0.12992618,0.343036117,0.117673777
9,2,0.091220717,0.352233331,0.124068319
9,3,0.150153846,0.378306624,0.143115902
9,4,0.095469915,0.416917023,0.173819804
9,5,0.034598264,0.38538968,0.148525205
9,6,0.068609738,0.379939659,0.144354145
9,7,0.162782251,0.386893624,0.149686677
9,8,-0.028376515,0.347383096,0.120675016
9,9,0.057060937,0.347761547,0.120938094
9,10,0.06508658,0.393576324,0.154902323
9,11,0.099609362,0.383876885,0.147361463
9,12,0.089799612,0.375553275,0.141040262
9,13,0.083731618,0.354464372,0.125644991
9,14,0.087405761,0.350440292,0.122808398
10,1,0.13500223,0.3646368,0.132959996
10,2,0.174939245,0.353466698,0.124938707
10,3,0.016248529,0.371952051,0.138348328
10,4,-0.023292405,0.39105925,0.152927337
10,5,0.056896617,0.337870016,0.114156147
10,6,0.040946352,0.347471595,0.120736509
10,7,0.0907609,0.384756409,0.148037494
10,8,0.010253521,0.351006095,0.123205279
10,9,0.028717181,0.35423417,0.125481847
10,10,0.076910105,0.360306812,0.129820999
10,11,0.036002381,0.335091608,0.112286385
10,12,0.050716456,0.337674512,0.114024076
10,13,0.026339464,0.366506485,0.134327003
10,14,0.093444635,0.394299008,0.155471708
11,1,0.004924775,0.426437358,0.181848821
11,2,0.117275655,0.354529538,0.125691193
11,3,-0.013868559,0.366726006,0.134487963
11,4,0.009380734,0.333345207,0.111119027
11,5,0.026754393,0.304215889,0.092547307
11,6,0.054972932,0.357341592,0.127693013
11,7,0.055581752,0.271430022,0.073674257
11,8,-0.004203689,0.392580315,0.154119303
11,9,0.0635625,0.379236868,0.143820602
11,10,-0.045573892,0.397330888,0.157871834
11,11,-0.000188031,0.353833769,0.125198336
11,12,-0.018264729,0.334024823,0.111572583
11,13,0.213324255,0.374188967,0.140017383
11,14,0.085899565,0.356020042,0.12675027
12,1,0.060786345,0.371578716,0.138070742
12,2,0.01872973,0.362365676,0.131308883
12,3,-0.037154118,0.363138386,0.131869488
12,4,0.115798157,0.343306646,0.117859453
12,5,0.054098522,0.376479591,0.141736883
12,6,0.04435,0.252820456,0.063918183
12,7,0.061675908,0.345412214,0.119309598
12,8,-0.014662698,0.356474079,0.127073769
12,9,-0.075738865,0.402783615,0.16223464
12,10,0.064684462,0.308910389,0.095425628
12,11,0.007620346,0.308896303,0.095416926
12,12,0.083974597,0.359459782,0.129211335
12,13,0.099760142,0.341693707,0.11675459
12,14,0.042643966,0.339325025,0.115141473
13,1,0.1035375,0.377680193,0.142642329
13,2,-0.006081395,0.439543689,0.193198654
13,3,0.070286224,0.386163609,0.149122333
13,4,0.046513525,0.389813027,0.151954196
13,5,0.225102092,0.381393018,0.145460634
13,6,0.084092952,0.343120855,0.117731921
13,7,0.080386175,0.378310343,0.143118715
13,8,0.038374895,0.408359833,0.166757753
13,9,0.136114768,0.427394056,0.182665679
13,10,0.014491919,0.357410311,0.12774213
13,11,0.021699034,0.430155373,0.185033645
13,12,0.002011374,0.422060287,0.178134886
13,13,0.049294608,0.403509853,0.162820201
13,14,0.03724542,0.30776391,0.094718624
14,1,0.041608295,0.433042258,0.187525597
14,2,-0.001142735,0.433983584,0.188341751
14,3,0.05035339,0.3897745,0.151924161
14,4,0.17241498,0.384106595,0.147537876
14,5,0.028661011,0.349659202,0.122261558
14,6,0.079103689,0.387780878,0.15037401
14,7,0.054897768,0.399259075,0.159407809
14,8,0.00707563,0.453921351,0.206044593
14,9,-0.00131893,0.37415764,0.139993939
14,10,0.066009231,0.363601039,0.132205716
14,11,0.124029528,0.406215499,0.165011031
14,12,-0.016896429,0.396042805,0.156849904
14,13,0.034634211,0.448288095,0.200962216
14,14,0.129450847,0.36624944,0.134138652
15,1,0.087257471,0.348860962,0.121703971
15,2,0.150035233,0.45283183,0.205056667
15,3,-0.024981879,0.433040687,0.187524237
15,4,-0.036664,0.412071429,0.169802862
15,5,0.098841475,0.358293255,0.128374056
15,6,0.001489252,0.419092016,0.175638118
15,7,0.043031967,0.395028008,0.156047127
15,8,0.07392913,0.387842564,0.150421854
15,9,0.080264921,0.352043259,0.123934456
15,10,-0.01734542,0.423776904,0.179586864
15,11,0.117276806,0.376401805,0.141678319
15,12,-0.021618627,0.389237536,0.15150586
15,13,0.070025221,0.350695315,0.122987204
15,14,0.032460889,0.409797721,0.167934172
16,1,0.070605752,0.349140868,0.121899346
16,2,0.050904301,0.438103467,0.191934648
16,3,0.098234008,0.365687411,0.133727282
16,4,0.101745,0.402945715,0.162365249
16,5,-0.063250935,0.423961442,0.179743304
16,6,0.010588189,0.377490098,0.142498774
16,7,0.155619737,0.356106386,0.126811758
16,8,0.300830374,0.404784606,0.163850577
16,9,0.047736782,0.40263027,0.162111134
16,10,0.047673279,0.376638648,0.141856671
16,11,0.078370352,0.399973812,0.15997905
16,12,0.102074206,0.339609403,0.115334546
16,13,0.032951376,0.397970555,0.158380563
16,14,0.09601748,0.358304444,0.128382075
17,1,0.141890455,0.378921253,0.143581316
17,2,-0.01995794,0.406161361,0.164967051
17,3,0.036357977,0.400899322,0.160720266
17,4,-0.008026866,0.375109357,0.14070703
17,5,0.107508511,0.372486554,0.138746233
17,6,0.191560606,0.397416854,0.157940156
17,7,0.119639904,0.369670496,0.136656275
17,8,0.073729954,0.382376812,0.146212026
17,9,0.102118487,0.388450001,0.150893403
17,10,0.135748837,0.392459761,0.154024664
18,1,0.072751515,0.376375759,0.141658712
18,2,0.089278007,0.380063948,0.144448605
18,3,0.099680296,0.396126002,0.156915809
18,4,0.045973276,0.376427408,0.141697594
18,5,0.056908017,0.330460166,0.109203921
18,6,0.066097917,0.408637665,0.166984742
18,7,0.078883279,0.367834054,0.135301891
18,8,0.037874104,0.395743601,0.156612998
18,9,0.1002996,0.39168218,0.15341493
18,10,0.115126042,0.393533935,0.154868958
19,1,0.034865975,0.410624318,0.168612331
19,2,0.077147847,0.435861652,0.18997538
19,3,0.162458273,0.379530041,0.144043052
19,4,0.116278731,0.33989179,0.115526429
19,5,0.150443111,0.405795698,0.164670148
19,6,0.115375949,0.354205554,0.125461575
19,7,0.052432883,0.38720296,0.149926133
19,8,0.105166981,0.417786267,0.174545365
19,9,0.00890369,0.406688954,0.165395906
19,10,0.042742248,0.425268546,0.180853336
20,1,0.033692118,0.432121836,0.186729282
20,2,0.135658382,0.410436,0.16845771
20,3,0.009524571,0.413237846,0.170765517
20,4,0.024484483,0.368100727,0.135498145
20,5,0.048739076,0.409613224,0.167782993
20,6,0.055895851,0.331209402,0.109699668
20,7,0.097111702,0.414834221,0.172087431
20,8,0.10259112,0.381832465,0.145796032
20,9,0.035671622,0.422911427,0.178854075
20,10,0.064275986,0.374041457,0.139907011
21,1,0.037025316,0.374125348,0.139969776
21,2,-0.018304132,0.398282502,0.158628952
21,3,0.0539,0.403636492,0.162922418
21,4,0.079356504,0.399188722,0.159351636
21,5,0.040863889,0.374793469,0.140470144
21,6,0.045035052,0.35483539,0.125908154
21,7,0.0527775,0.420487305,0.176809574
21,8,0.132846281,0.418026913,0.1747465
21,9,0.122964414,0.39271938,0.154228511
21,10,0.052581991,0.366374051,0.134229945
22,1,0.014235371,0.389495063,0.151706404
22,2,0.127302789,0.351703372,0.123695262
22,3,0.082489423,0.373331536,0.139376436
22,4,0.044779259,0.32045449,0.10269108
22,5,0.102095074,0.340638388,0.116034511
22,6,-0.052189671,0.3930015,0.154450179
22,7,0.009869231,0.347899123,0.1210338
22,8,-0.00253399,0.381367733,0.145441348
22,9,0.054967005,0.345316943,0.119243791
22,10,0.036828384,0.374049152,0.139912768
23,1,0.012051037,0.36310713,0.131846788
23,2,0.12218631,0.383684803,0.147214028
23,3,0.114599459,0.363078162,0.131825751
23,4,0.12653125,0.361240236,0.130494508
23,5,0.124782653,0.426180394,0.181629728
23,6,0.094005291,0.382831017,0.146559588
23,7,0.162853659,0.416829549,0.173746873
23,8,0.069488393,0.374746619,0.140435029
23,9,0.105531532,0.357253208,0.127629854
23,10,0.13536134,0.400261118,0.160208962
